===========================================================================
📡 IPTV 酒店源测速报告 | 时间: 2026-04-04 17:02:07
===========================================================================
服务器 (IP:Port)             | 频道              | 速度           | 稳定性
182.150.31.44:808         | CCTV17          |   0.27 Mbps | 100%
106.44.226.206:88         | 广东卫视            |   7.93 Mbps |  48%
106.44.226.206:88         | CCTV8电视剧        |   7.97 Mbps |  72%
106.46.169.202:9000       | CCTV8           |   0.78 Mbps | 100%
106.46.169.202:9000       | 东方卫视            |   0.65 Mbps | 100%
59.45.161.118:8877        | 广西卫视            |   3.89 Mbps |  59%
59.45.161.118:8877        | 河北卫视            |   3.36 Mbps |  13%
183.237.71.182:40000      | 东南卫视            |    4.7 Mbps |   0%
183.237.71.182:40000      | 重庆卫视            |   4.38 Mbps | 100%
119.36.6.89:1111          | CHC电影           |   1.14 Mbps | 100%
119.36.6.89:1111          | 第一剧场            |   0.16 Mbps | 100%
39.164.138.145:8899       | 广西卫视            |   0.71 Mbps | 100%
39.164.138.145:8899       | 湖南卫视            |   0.81 Mbps | 100%
39.164.138.145:9003       | CCTV1综合         |   0.46 Mbps | 100%
39.164.138.145:9003       | 云南卫视            |   0.26 Mbps | 100%
144.0.23.230:8085         | 6               |    2.0 Mbps |   0%
144.0.23.230:8085         | 11              |   1.88 Mbps |   0%
221.14.142.118:8000       | 江苏卫视            |   5.15 Mbps |   0%
221.14.142.118:8000       | 深圳卫视            |   5.74 Mbps |  24%
122.226.23.150:8888       | CCTV1           |   8.01 Mbps |  97%
122.226.23.150:8888       | CCTV11          |   3.62 Mbps |   0%
221.14.142.118:9003       | 湖南卫视            |   4.25 Mbps | 100%
221.14.142.118:9003       | 北京卫视            |   4.41 Mbps |   0%
1.196.157.174:999         | CCTV5           |   4.59 Mbps | 100%
1.196.157.174:999         | CCTV1           |   8.89 Mbps |  88%
222.142.187.107:9003      | 深圳卫视            |   9.57 Mbps | 100%
222.142.187.107:9003      | CCTV10科教        |   8.85 Mbps |  93%
119.39.198.159:808        | 湖南卫视            |  10.11 Mbps |   0%
119.39.198.159:808        | CCTV11戏曲        |   4.14 Mbps | 100%
119.39.198.172:808        | 湖南电影            |   3.81 Mbps |   0%
119.39.198.172:808        | 浙江卫视            |  14.38 Mbps | 100%
222.142.185.122:9003      | CCTV12社会与法      |   9.02 Mbps |  85%
222.142.185.122:9003      | CCTV5+体育赛事      |   8.41 Mbps |   0%
221.13.232.237:1999       | CCTV7           |   9.57 Mbps |  98%
221.13.232.237:1999       | CCTV15          |   8.43 Mbps |   0%
210.76.37.214:1234        | 广东卫视            |   4.36 Mbps |   0%
210.76.37.214:1234        | 吉林卫视            |   6.79 Mbps |  96%
14.106.99.245:888         | 兵团卫视            |   3.75 Mbps |   0%
14.106.99.245:888         | 陕西卫视            |   3.93 Mbps |   0%
222.85.198.92:8000        | CCTV17          |   0.52 Mbps | 100%
222.85.198.92:8000        | CCTV15          |   0.26 Mbps | 100%

📊 综合汇总 (Summary):
112.27.235.94:8000        | 有效频道:2 | 平均: 0.43 Mbps
111.14.222.117:3333       | 有效频道:2 | 平均: 6.82 Mbps
120.209.208.163:5080      | 有效频道:2 | 平均: 5.33 Mbps
111.14.186.11:5009        | 有效频道:2 | 平均: 9.22 Mbps
120.224.84.170:8085       | 有效频道:2 | 平均: 9.38 Mbps
223.95.198.3:8000         | 有效频道:2 | 平均: 8.38 Mbps
183.221.211.20:808        | 有效频道:2 | 平均: 9.05 Mbps
116.228.170.214:888       | 有效频道:2 | 平均: 0.34 Mbps
112.255.253.148:9001      | 有效频道:2 | 平均: 1.29 Mbps
122.114.131.154:4000      | 有效频道:1 | 平均: 2.28 Mbps
114.252.114.191:8899      | 有效频道:2 | 平均: 9.74 Mbps
119.166.230.171:8082      | 有效频道:1 | 平均: 4.73 Mbps
119.166.226.162:8082      | 有效频道:1 | 平均: 8.35 Mbps
114.252.121.120:8899      | 有效频道:2 | 平均: 9.46 Mbps
27.41.244.244:808         | 有效频道:2 | 平均: 4.74 Mbps
125.40.199.223:8092       | 有效频道:2 | 平均: 5.38 Mbps
123.14.89.116:8888        | 有效频道:2 | 平均: 3.29 Mbps
144.0.23.80:8085          | 有效频道:2 | 平均:  1.7 Mbps
60.16.0.36:5757           | 有效频道:2 | 平均: 6.11 Mbps
221.226.67.66:8199        | 有效频道:2 | 平均: 0.49 Mbps
39.89.8.237:8083          | 有效频道:2 | 平均: 1.64 Mbps
218.19.109.134:808        | 有效频道:2 | 平均: 7.06 Mbps
221.11.56.114:8888        | 有效频道:2 | 平均: 2.92 Mbps
183.236.10.36:8083        | 有效频道:2 | 平均: 1.74 Mbps
101.95.21.250:10081       | 有效频道:2 | 平均: 0.57 Mbps
122.114.131.154:4060      | 有效频道:1 | 平均: 1.58 Mbps
61.163.179.201:808        | 有效频道:2 | 平均: 4.91 Mbps
113.88.211.62:9898        | 有效频道:2 | 平均: 3.72 Mbps
27.41.245.102:808         | 有效频道:2 | 平均: 4.73 Mbps
219.139.124.61:8089       | 有效频道:2 | 平均: 5.57 Mbps
42.49.176.207:808         | 有效频道:2 | 平均: 9.79 Mbps
1.31.14.70:54321          | 有效频道:2 | 平均: 1.93 Mbps
112.237.16.225:7001       | 有效频道:2 | 平均:  8.9 Mbps
1.24.39.180:808           | 有效频道:2 | 平均: 8.26 Mbps
113.200.114.168:20000     | 有效频道:2 | 平均: 3.54 Mbps
122.114.131.154:4007      | 有效频道:2 | 平均: 1.32 Mbps
61.138.82.196:808         | 有效频道:2 | 平均: 9.19 Mbps
122.114.131.154:4021      | 有效频道:2 | 平均: 0.96 Mbps
122.114.131.154:4103      | 有效频道:1 | 平均: 0.92 Mbps
144.0.23.162:8085         | 有效频道:2 | 平均: 6.22 Mbps
